ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI
201718,CNEE80304G,0041910003,SI,SI,SI,NO,SI,SI,SI,SI,SI,-
201718,UDMM81103N,0300560002,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,IMTD00651X,0080310149,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
201718,VIMM843012,0241003449,SI,SI,SI,NO,NO,NO,SI,SI,SI,-
201718,BNTF02202L,0620230012,SI,SI,SI,NO,NO,NO,SI,NO,NO,-
201718,RGEE82202L,0880092021,SI,SI,NO,NO,NO,SI,SI,NO,NO,-
201718,VEMM82101T,0270350667,SI,SI,SI,NO,NO,SI,NO,NO,NO,-
201718,BOTD00901G,0370220441,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,SAEE09900B,0650022070,SI,NO,NO,NO,SI,SI,NO,NO,NO,-
201718,NAAA8DE02C,0630571612,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,TPAA82901T,0810183453,SI,SI,NO,SI,NO,NO,NO,NO,NO,-
201718,LEIC894009,0750300309,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,VEAA825033,0270301550,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,LOEE806047,0980110820,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,SAMM85501L,0650090002,NO,-,-,-,-,-,-,-,-,-
201718,AVRH01802R,0640471093,SI,NO,NO,NO,NO,SI,SI,NO,NO,-
201718,RMMM8A501P,0580220590,SI,SI,NO,NO,NO,SI,SI,NO,NO,-
201718,PAEE84503G,0820365006,SI,NO,SI,SI,NO,SI,SI,SI,NO,-
201718,GEMM82601V,0100250115,SI,NO,NO,NO,NO,SI,NO,NO,NO,-
201718,SAEE8BU023,0650780852,SI,SI,NO,NO,SI,NO,NO,NO,NO,-
201718,CTSL01050Q,0870152094,NO,-,-,-,-,-,-,-,-,-
201718,CAMM82806P,1110601548,NO,-,-,-,-,-,-,-,-,-
201718,FIMM840018,0480170616,NO,-,-,-,-,-,-,-,-,-
201718,CTAA8AL07E,0870390769,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,NOEE82403L,0031060072,NO,-,-,-,-,-,-,-,-,-
201718,SPMM81301B,0110230156,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,ALTF01701L,0061140003,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,MIIC880008,0151893208,NO,-,-,-,-,-,-,-,-,-
201718,TOAA8BH025,0013140004,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,PAEE850011,0820184892,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
201718,CEIS028003,0610051957,NO,-,-,-,-,-,-,-,-,-
201718,POIC811007,1000070001,SI,SI,SI,NO,SI,NO,NO,SI,SI,-
201718,SREE86405P,0890074605,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,BSSL03601G,0170290272,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,PIMM83301X,0500260008,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,TPEE810012,0810012790,NO,-,-,-,-,-,-,-,-,-
201718,SIEE807045,0520180005,NO,-,-,-,-,-,-,-,-,-
201718,MEEE8AD10E,0830483010,SI,NO,NO,NO,NO,SI,NO,NO,NO,-
201718,TSMM818018,0320060026,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
201718,RGRC00450B,0880060941,SI,SI,SI,SI,SI,SI,SI,SI,NO,-
201718,PEPS03000N,0680280254,SI,NO,SI,SI,NO,SI,NO,NO,NO,-
201718,PSEE82002Q,0410150042,SI,SI,NO,SI,NO,NO,SI,NO,SI,-
201718,MCMM80202L,0430390027,SI,NO,SI,NO,SI,SI,NO,NO,NO,-
201718,REMM81604Q,0350420232,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,BAMM832018,0720400620,SI,SI,SI,NO,SI,SI,SI,SI,SI,-
201718,RNEE81501N,0990010021,SI,SI,SI,SI,NO,SI,NO,NO,NO,-
201718,RIAA821017,0570590011,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,PDEE89803X,0280732211,SI,SI,SI,NO,NO,SI,SI,SI,SI,-
201718,CEIC863006,0610051912,NO,-,-,-,-,-,-,-,-,-
201718,APEE827041,1090310290,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
201718,PDEE862024,0280171403,SI,SI,SI,NO,NO,SI,SI,SI,NO,-
201718,CNEE86002N,0040780029,SI,NO,SI,SI,SI,SI,SI,SI,SI,-
201718,MNAA83502R,0200270051,SI,SI,NO,NO,NO,NO,NO,SI,SI,-
201718,BGAA89201R,0162462184,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,PZAA85403E,0760520830,SI,SI,NO,NO,SI,SI,NO,SI,SI,-
201718,BNAA813022,0620231397,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,MCAA80201B,0430390530,NO,-,-,-,-,-,-,-,-,-
201718,PVAA80403B,0180881891,SI,SI,SI,NO,NO,NO,SI,SI,SI,-
201718,REEE81602P,0350460012,SI,NO,NO,NO,NO,SI,SI,NO,NO,-
201718,LOEE80802R,0980580509,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
201718,CSMM85108B,0780970254,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,MNMM80102T,0200010260,SI,SI,NO,NO,NO,NO,SI,NO,NO,-
201718,PZPS12000V,0760630523,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,TOMM28400A,0012720206,SI,NO,SI,SI,NO,SI,SI,SI,SI,-
201718,ATMM80502R,0050750002,SI,NO,SI,NO,NO,SI,SI,NO,NO,-
201718,ROAA80602B,0290520993,SI,SI,NO,NO,NO,SI,SI,SI,SI,-
201718,SAEE8A201Q,0650431665,NO,-,-,-,-,-,-,-,-,-
201718,PZAA85902L,0760620002,NO,-,-,-,-,-,-,-,-,-
201718,CSEE810042,0780980067,SI,SI,NO,NO,NO,NO,NO,NO,NO,SOLO IL PRIMO PIANO DELL`EDIFICIO ¿ DOTATO DI RAMPA DI ACCESSO ESTERNO
201718,AVIS01600X,0640051390,NO,-,-,-,-,-,-,-,-,-
201718,NAEE35101G,0630371705,NO,-,-,-,-,-,-,-,-,-
201718,NOEE814076,0031350001,SI,NO,NO,NO,NO,SI,NO,SI,SI,-
201718,PRIC83200B,0340270500,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,NAPS046022,0630470001,NO,-,-,-,-,-,-,-,-,-
201718,PNIS01100P,0930410002,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,TOEE89202N,0010630002,SI,SI,SI,SI,NO,SI,NO,SI,SI,-
201718,SREE859013,0890133744,NO,-,-,-,-,-,-,-,-,-
201718,NUTA014013,0910511135,NO,-,-,-,-,-,-,-,-,-
201718,TVIC845009,0260682948,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,CEAA86607R,0610640634,NO,-,-,-,-,-,-,-,-,-
201718,CTIC80800X,0870560716,SI,SI,SI,NO,SI,NO,SI,SI,NO,-
201718,SOMM82001L,0140610181,SI,SI,SI,NO,NO,NO,SI,SI,SI,-
201718,PGMM05100R,0540090333,SI,SI,SI,NO,NO,SI,SI,NO,SI,-
201718,MIEE860015,0150100886,SI,SI,NO,SI,NO,SI,SI,NO,NO,-
201718,PTAA828039,0470070001,SI,SI,NO,NO,NO,NO,NO,SI,SI,-
