ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SCUOLABUS,TRASPORTIPUBBLICIURBANI,TRASPORTIPUBBLICIINTERURBANI,TRASPORTIFERROVIARI,MEZZIPRIVATI,TRASPORTODISABILI,PISTACICLABILE,ALTRO
202021,SAAA8A4038,0650022068,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,PGAA86003D,0540182585,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,TPPM03101L,0810212492,SI,SI,SI,SI,SI,SI,NO,-
202021,AQIC82100B,0660510865,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,RMEE82903Q,0580910633,NO,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,SAAA87101A,0651290008,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,NAAA8CL015,0630840009,SI,SI,NO,SI,SI,NO,NON DEFINITO,-
202021,PDTD04000D,0280324258,NO,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,LUTF01851G,0460335055,NO,SI,NO,NO,SI,SI,NO,-
202021,RCTD013019,0800380975,NO,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,BAEE168001,0720430481,SI,NO,NO,NO,NO,SI,NON DEFINITO,-
202021,GRMM82002L,0530260003,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,SAMM8A402B,0651471756,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BSIC8AE003,0171970116,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,RMSD10102P,0580321583,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,RCMM86501L,0800880580,SI,SI,SI,NO,SI,NO,NO,-
202021,SOEE81203R,0140390001,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,ENRI00401Q,0860090734,SI,SI,SI,NO,SI,NO,NO,-
202021,VAEE809052,0120290316,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,PRAA812013,0340060221,SI,SI,SI,SI,SI,NO,NO,-
202021,AQTF01451A,0660060357,NO,SI,SI,SI,SI,NO,SI,-
202021,CTAA80307X,0870361432,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,NAIS08700R,0630490127,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,POAA80702D,1000060003,SI,SI,NO,NO,SI,SI,NO,-
202021,AGCT71400P,0840010065,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,BOAA868052,0370390251,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,PSMM82601L,0410660603,SI,SI,SI,NO,SI,SI,SI,-
202021,AQPC040007,0660490328,NO,SI,NO,NO,SI,NO,NO,-
202021,BNEE848059,0620160003,SI,NO,SI,NO,NO,SI,NON DEFINITO,-
202021,TOEE82704L,0012210003,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,TSAA820047,0320040008,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,RMTD08401E,0580911612,NO,SI,NO,SI,SI,SI,NON DEFINITO,-
202021,GEIS004005,0100250434,NO,SI,SI,SI,SI,NO,NO,-
202021,MSAA814034,0450148084,SI,SI,SI,SI,SI,NO,NO,-
202021,NAEE8FZ015,0630830014,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,PARA01601G,0820533437,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,GEIC82000V,0100120367,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,PESL011016,0680270234,SI,SI,SI,NO,SI,NO,NO,-
202021,PZRH02802C,0760480527,SI,SI,SI,NO,SI,SI,NO,-
202021,TPMM829012,0810183454,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,BSAA81801B,0170490390,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,PAPM07000P,0820534540,NO,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,MNMM80205R,0200240294,SI,SI,SI,NO,SI,NO,SI,-
202021,MIAA81902A,0151460009,NO,SI,NO,NO,NO,NO,NON DEFINITO,-
202021,LTMM826012,0590180096,NO,NO,SI,NO,NO,NO,NON DEFINITO,-
202021,PDMM86001A,0280913311,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,SVRH00201P,0090290193,NO,NO,NO,NO,SI,NO,NO,-
202021,RCMM839047,0800391085,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,SAMM89702Q,0651260003,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,CZEE865042,0790580999,SI,NO,NO,NO,SI,SI,NO,-
202021,NAEE8GR01Q,0630620490,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BLAA829021,0250061852,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,LIEE81501N,0490091044,SI,SI,SI,NO,SI,NO,NO,-
202021,NUIC849002,0910890260,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,AOIP011000,0070588800,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,RMIC8AT005,0580643582,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,TOEE86202T,0011200008,SI,SI,SI,NO,SI,SI,SI,-
202021,SAMM8BJ01D,0650220014,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,AQEE82702D,0660430253,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,CSEE89602Q,0780450744,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,VEEE827063,0270423484,SI,SI,NO,NO,SI,SI,NO,-
202021,AQRA017021,0660060451,NO,SI,SI,NO,SI,NO,NO,-
202021,VBEE806066,1030020003,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,SOMM80901T,0140650185,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,CNEE835043,0041210001,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,PGIC82300G,0540500440,NO,SI,SI,NO,SI,SI,NO,-
202021,BSIS036008,0170290272,NO,SI,SI,NO,SI,NO,NO,-
202021,VTEE813038,0560110162,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,UDTD02101G,0301290073,NO,SI,SI,NO,SI,SI,NO,-
202021,MIIC8CB00V,0151460423,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,AVEE86602X,0641030002,SI,SI,NO,SI,SI,SI,NON DEFINITO,-
202021,BSMM836015,0170250001,SI,SI,NO,NO,SI,SI,SI,-
202021,LIEE00701Q,0490091013,SI,SI,SI,NO,SI,NO,NO,-
202021,NAEE8DR032,0630110014,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,MIIC8BM008,0151421297,NO,SI,SI,NO,SI,SI,SI,-
202021,LEMM8AH04X,0750950150,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,PARA021013,0820544763,NO,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BOMM824029,0370100725,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,CZMM843022,0790940722,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,TOIC8B700B,0012720299,NO,SI,NO,NO,SI,SI,NO,-
202021,TOEE89701Q,0011890005,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,RMRH04000N,0580911709,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,ROEE808028,0290280992,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,BOMM88001L,0370060323,NO,SI,SI,SI,SI,SI,SI,-
202021,RIEE82002N,0570160108,SI,SI,SI,NO,SI,NO,NO,-
202021,CHAA838024,0690220002,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,FRAA85701T,0600680211,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BGMM840029,0160280610,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,ORPC00801P,0950790366,NO,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,GEMM82201G,0100170295,SI,SI,SI,SI,SI,SI,NO,-
202021,TREE81006C,0550150116,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,PIEE82104T,0500260012,SI,SI,NO,NO,SI,SI,NO,-
202021,MIAA82502N,0150770224,NO,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,BSAA84602L,0170210863,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,FRAA843021,0600260098,SI,SI,SI,NO,SI,SI,NO,-
202021,NAPS130007,0630840086,NO,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,VIEE86004X,0240381609,SI,NO,NO,NO,SI,SI,NO,piedibus
202021,TEMM82301L,0670080710,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,VIIC88100Q,0240123298,SI,SI,SI,NO,SI,SI,SI,-
202021,BLEE81301G,0250703441,SI,SI,NO,NO,SI,NO,NO,-
202021,BGAA87203N,0160230016,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,LURI016513,0460175752,NO,SI,NO,NO,SI,SI,NO,-
202021,MEAA842046,0830803534,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,PSTA01301D,0410440353,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,SIMM80502A,0520330002,SI,SI,SI,NO,SI,NO,NO,-
202021,CNEE83605X,0041530001,SI,NO,SI,NO,SI,SI,NO,-
202021,PTAA824021,0470120001,SI,NO,NO,SI,SI,NO,NON DEFINITO,-
202021,AVEE844023,0640471091,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,LUTF004018,0460095000,NO,SI,NO,NO,SI,SI,NO,-
202021,FGEE11202B,0710510145,SI,SI,SI,NO,SI,SI,NO,-
202021,CLTE013018,0850040551,NO,SI,SI,NO,SI,SI,NO,-
202021,TOEE8AR01E,0011810002,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,CNEE85402A,0040030009,SI,SI,NO,NO,SI,NO,SI,-
202021,RCAA805062,0800631096,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,GEMM81504G,0100030292,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,VEMM867017,0270121559,SI,NO,NO,NO,SI,NO,SI,-
202021,BSEE80706B,0171280158,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,KRAA80604X,1010100129,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,RAIC80400V,0390020500,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,GREE82101C,0530140190,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,RGIS00600Q,0880081190,NO,NO,SI,NO,SI,SI,NO,-
202021,NAMM8GP013,0630010413,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,PEEE83203X,0680280017,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,CRPS00401L,0190360289,NO,SI,NO,NO,SI,NO,NO,-
202021,RMIS05700X,0580291720,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,ENRA00201C,0860021425,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,CEEE872024,0610190553,SI,NO,NO,SI,SI,NO,NON DEFINITO,-
202021,PGEE041007,0540270406,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,LTAA83005N,0590320134,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,RCEE00601V,0800631016,NO,SI,SI,SI,SI,NO,NON DEFINITO,-
202021,RMAA8A3053,0580090159,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,TRAA81701R,0550100035,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,VIEE828044,0241112273,SI,SI,NO,NO,SI,NO,NO,-
202021,FGTD061012,0710291151,NO,NO,NO,NO,SI,NO,NO,-
202021,SSAA82009B,0900080571,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,BOIC81400L,0370010003,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,APTF01051C,1090170634,NO,NO,SI,NO,SI,NO,NO,-
202021,MOTF01801E,0360232510,NO,SI,SI,NO,SI,SI,SI,-
202021,MTMM810012,0770200647,NO,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,VAMM815047,0120580857,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,TAEE845014,0730270354,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,MCAA82203P,0430330063,SI,SI,SI,NO,SI,SI,SI,-
202021,CTMM8AP01Q,0870491087,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,PZTD024027,0760130861,NO,SI,SI,NO,SI,NO,NO,-
202021,BGEE819032,0160210151,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,MNEE82303R,0200590142,NO,NO,NO,NO,SI,NO,NO,-
202021,NUPS012012,0910860343,NO,NO,SI,SI,NO,NO,NON DEFINITO,-
202021,BSIC82400T,0170920905,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,CSIC86700L,0781480964,SI,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,VIEE82602A,0240461712,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,ALEE810017,0060170004,SI,SI,SI,SI,SI,NO,NON DEFINITO,-
202021,GOIS00400N,0310070034,NO,SI,SI,NO,SI,SI,NO,-
202021,MBAA8EY02P,1080010186,SI,NO,NO,NO,SI,NO,NO,-
202021,MBEE8DJ017,1080421170,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,MEAA83001R,0830093970,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,KREE82503D,1010180112,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,PTEE81005B,0470140627,SI,SI,NO,NO,SI,NO,NO,-
202021,NUMM85005B,0910880858,SI,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,TAAA802022,0730270042,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,FIEE82702X,0480050001,SI,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,SRPC02801R,0890111569,NO,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,PZEE831077,0760350001,SI,NO,NO,NO,NO,NO,NO,-
202021,RCEE862027,0800380401,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,FGIC83300B,0710382165,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,FOTD004504,0400080048,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,MBTF050001,1080231729,NO,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,BGRI003014,0161760892,SI,SI,SI,NO,SI,SI,NO,-
202021,MBIC8F900A,1080270165,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,TVSL01000R,0260863733,NO,SI,NO,NO,SI,NO,NO,-
202021,SSIS02400N,0900520634,NO,NO,SI,NO,SI,SI,NO,-
202021,CRPS01000V,0190361783,NO,SI,SI,SI,SI,SI,SI,-
202021,PEAA822012,0680210055,SI,SI,SI,NO,SI,SI,NO,-
202021,CEAA8AV02P,0610480576,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,PZEE86403A,0760530429,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BGMM88101E,0162130755,SI,SI,SI,SI,SI,SI,NON DEFINITO,-
202021,BGEE843051,0161820241,SI,NO,SI,NO,SI,SI,NO,-
202021,PZEE88804X,0760630751,SI,SI,SI,SI,SI,SI,NON DEFINITO,-
202021,AVMM885017,0640080323,SI,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BLAA828036,0250670726,SI,NO,NO,NO,SI,NO,NO,-
202021,CZRH05000A,0791601080,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,BORI024035,0370530453,SI,NO,SI,SI,SI,NO,NO,-
202021,PDEE89201V,0280191350,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,VREE89304G,0230661735,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,TOAA8AD016,0011940006,SI,NO,SI,NO,SI,SI,NO,-
202021,SOAA80606B,0140180338,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,LUIC81800D,0460335050,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,SAAA8AC03C,0651160071,NO,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,SPEE81801G,0110150072,SI,SI,NO,NO,SI,SI,NO,-
202021,MOAA06006B,0360461962,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,VTRC00650C,0560211975,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,ARIC83500X,0510020082,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,COPS01101L,0131650540,SI,SI,SI,NO,SI,SI,NO,-
202021,FREE83902E,0600330000,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,NAIS02900R,0630231837,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,UDAA84604D,0300040004,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,AVAA84601C,0640430003,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,BNRH01201L,0620250014,NO,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,CAMM008008,0920090402,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,ORMM803037,0950170872,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,RNEE80303D,0990280125,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,SAAA873012,0651000001,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,PGMM21400G,0540242700,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,BSAA8AJ01L,0170780547,SI,NO,NO,NO,SI,NO,SI,-
202021,RMEE8FU022,0580910050,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,TVTF00401Q,0260873752,NO,NO,SI,NO,SI,NO,NO,-
202021,TOCT71800D,0010590016,SI,SI,SI,NO,SI,SI,SI,-
202021,SIEE81802D,0520110010,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,CAIC879009,0921090924,SI,SI,SI,SI,SI,NO,NON DEFINITO,-
202021,NOAA81402Q,0030370001,NO,NO,NO,NO,SI,NO,NO,-
202021,AO1E012060,0070490100,SI,SI,SI,NO,SI,SI,NO,-
202021,CEAA8A606P,0610590700,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,LEAA829024,0750430117,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,PGSD026025,0540511096,NO,SI,SI,NO,SI,SI,NO,-
202021,BGMM896018,0161831000,SI,NO,NO,NO,SI,SI,NON DEFINITO,-
202021,MIMM8BV01N,0151821344,NO,SI,SI,NO,SI,NO,NON DEFINITO,-
202021,MIAA8D8019,0151661998,NO,SI,NO,NO,SI,SI,NON DEFINITO,-
202021,BRAA83103C,0740080072,SI,NO,NO,NO,SI,SI,NO,-
202021,AVMM86701N,0640251851,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
202021,BAEE17300C,1100090484,SI,SI,NO,NO,SI,NO,NO,-
202021,ALAA822018,0061730003,SI,NO,SI,NO,SI,NO,NO,-
202021,TVEE833048,0260592600,SI,NO,SI,NO,SI,SI,SI,-
202021,TAIC808003,0730200263,SI,NO,SI,SI,SI,SI,SI,-
202021,ALMM815019,0060030017,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,VRMM85401R,0230821417,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,CTMM81801G,0870041035,SI,SI,SI,NO,SI,SI,NO,-
202021,PGMM83101G,0540180132,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,BAEE06101A,1100021380,SI,SI,NO,NO,SI,NO,SI,-
202021,MEMM842017,0830643541,SI,SI,SI,NO,SI,SI,NON DEFINITO,-
202021,MSAA82003B,0450100109,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,ISEE81508D,0940140097,SI,NO,SI,NO,SI,SI,NON DEFINITO,-
202021,VRIC852004,0230421038,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,VAIC81900A,0121390422,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,TOEE8B802A,0012720123,NO,SI,NO,NO,SI,SI,NO,-
202021,AVAA877036,0640601254,NO,NO,NO,NO,NO,SI,NO,-
202021,SIAA81105L,0520030001,SI,SI,NO,SI,SI,SI,NON DEFINITO,-
202021,TAMM81101X,0730020230,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,VAMM823013,0120600166,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,CTIS04800E,0870542554,SI,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,NAPS02601Q,0630490847,SI,SI,NO,NO,NO,NO,NON DEFINITO,-
202021,CRIC810009,0190160122,SI,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,AVAA863049,0640051478,SI,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,MSAA014035,0450010015,SI,SI,SI,NO,SI,SI,SI,-
202021,CAMM031009,0920030425,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,CHPC014015,0690990400,SI,SI,SI,NO,SI,SI,NO,-
202021,CREE80002T,0190030200,SI,NO,SI,NO,SI,NO,SI,-
202021,LEIC85700A,0750630537,NO,NO,NO,NO,SI,NO,NON DEFINITO,-
202021,LCPS020004,0970480588,NO,NO,SI,NO,SI,NO,NON DEFINITO,-
202021,RMEE8EP01T,0580910419,NO,SI,NO,NO,SI,NO,NON DEFINITO,-
202021,VTMM81701C,0560211130,NO,NO,NO,NO,NO,NO,NON DEFINITO,-
